20160125,0,10163,4271,14434
20160126,0,28675,4929,33604
20160127,0,24354,8340,32694
20160128,0,25039,8346,33385
20160129,0,24977,5154,30131
20160130,1,25272,6705,31977
20160131,1,23450,9466,32916
20160201,0,25327,6943,32270
20160202,0,20535,6027,26562
20160203,0,18194,7102,25296
20160204,0,24255,8592,32847
20160205,0,31961,5723,37684
20160206,1,38231,6317,44548
20160207,1,35742,9865,45607
20160208,1,32125,7276,39401
20160209,1,32462,6902,39364
20160210,1,33384,7574,40958
20160211,0,26632,7718,34350
20160212,0,24604,6602,31206
20160213,1,23765,12498,36263
20160214,1,30427,6646,37073
20160215,0,34226,5299,39525
20160216,0,31184,7004,38188
20160217,0,32499,9340,41839
20160218,0,33770,8901,42671
20160219,0,31209,6628,37837
20160220,1,33137,7546,40683
20160221,1,32898,6481,39379
20160222,0,33126,9020,42146
20160223,0,31928,8887,40815
20160224,0,31741,6050,37791
20160225,0,35264,8990,44254
20160226,0,34615,9661,44276
20160227,1,36428,7740,44168
20160228,1,31791,5542,37333
20160229,0,20962,6209,27171
20160301,1,20310,7044,27354
20160302,0,22849,6671,29520
20160303,0,23514,5302,28816
20160304,0,26765,8279,35044
20160305,1,27604,7455,35059
20160306,1,24457,7455,31912
20160307,0,25722,4465,30187
20160308,0,21504,4990,26494
20160309,0,20347,8242,28589
20160310,0,27502,5012,32514
20160311,0,31203,11063,42266
20160312,1,31835,5473,37308
20160313,1,28385,8644,37029
20160314,0,27325,8254,35579
20160315,0,26702,9627,36329
20160316,0,25712,6923,32635
20160317,0,32725,8797,41522
20160318,0,36743,8252,44995
20160319,1,34129,6781,40910
20160320,1,33201,8655,41856
20160321,0,31705,8251,39956
20160322,0,30219,8805,39024
20160323,0,30065,6157,36222
20160324,0,33667,9174,42841
20160325,0,36381,12363,48744
20160326,1,34806,6640,41446
20160327,1,35935,9288,45223
20160328,0,35787,7582,43369
20160329,0,32918,7830,40748
20160330,0,31979,7287,39266
20160331,0,36050,11031,47081
20160401,0,40009,11057,51066
20160402,1,37869,11248,49117
20160403,1,34904,7702,42606
20160404,0,36740,6286,43026
20160405,0,33845,13787,47632
20160406,0,32229,9902,42131
20160407,0,36940,9381,46321
20160408,0,37990,8711,46701
20160409,1,39250,11795,51045
20160410,1,36528,10795,47323
20160411,0,33502,12137,45639
20160412,0,32759,6404,39163
20160413,1,33091,7079,40170
20160414,0,35495,8010,43505
20160415,0,36181,13416,49597
20160416,1,17960,4802,22762
20160417,1,42427,8762,51189
20160418,0,36304,12151,48455
20160419,0,33497,14283,47780
20160420,0,33630,8433,42063
20160421,0,37153,12912,50065
20160422,0,39289,9199,48488
20160423,1,38374,11852,50226
20160424,1,36215,10082,46297
20160425,0,35365,13336,48701
20160426,0,32495,10808,43303
20160427,0,33538,7735,41273
20160428,0,37751,13053,50804
20160429,0,35475,10579,46054
20160430,1,35169,11927,47096
20160501,1,35169,12693,47862
20160502,0,25635,7586,33221
20160503,0,35546,10706,46252
20160504,0,41615,9266,50881
20160505,1,44045,10612,54657
20160506,0,34394,11135,45529
20160507,1,26280,8783,35063
20160508,1,31013,7963,38976
20160509,0,36487,9403,45890
20160510,0,32587,10686,43273
20160511,0,35480,12806,48286
20160512,0,34023,12333,46356
20160513,0,37573,11590,49163
20160514,1,37194,12858,50052
20160515,1,33316,12398,45714
20160516,0,36481,8268,44749
20160517,0,34854,7537,42391
20160518,0,36610,11291,47901
20160519,0,35647,15560,51207
20160520,0,37610,9227,46837
20160521,1,36491,14339,50830
20160522,1,34905,10522,45427
20160523,0,36249,9616,45865
20160524,0,32406,11662,44068
20160525,0,35976,12098,48074
20160526,0,35033,14289,49322
20160527,0,37776,11353,49129
20160528,1,38268,12067,50335
20160529,1,34648,13175,47823
20160530,0,32520,10328,42848
20160531,0,30347,11853,42200
20160601,0,36277,8970,45247
20160602,0,37269,13065,50334
20160603,0,41256,14625,55881
20160604,1,44661,7793,52454
20160605,1,35674,11599,47273
20160606,1,33923,11851,45774
20160607,0,35762,15119,50881
20160608,0,35635,10835,46470
20160609,0,35230,12742,47972
20160610,0,36312,10523,46835
20160611,1,38667,12897,51564
20160612,1,38116,15033,53149
20160613,0,36677,9357,46034
20160614,0,32616,11704,44320
20160615,0,32465,13495,45960
20160616,0,36552,13788,50340
20160617,0,36599,9560,46159
20160618,1,36383,11376,47759
20160619,1,33175,13440,46615
20160620,0,33446,12525,45971
20160621,0,32146,10951,43097
20160622,0,33547,10604,44151
20160623,0,35059,12483,47542
20160624,0,33945,7890,41835
20160625,1,35876,18151,54027
20160626,1,34490,13144,47634
20160627,0,34917,12545,47462
20160628,0,30658,11419,42077
20160629,0,31126,9014,40140
20160630,0,35220,12786,48006
20160701,0,32432,11660,44092
20160702,1,33211,10676,43887
20160703,1,34164,8813,42977
20160704,0,35333,11610,46943
20160705,0,32635,17709,50344
20160706,0,33758,13038,46796
20160707,0,35040,16292,51332
20160708,0,31734,10595,42329
20160709,1,32794,13156,45950
20160710,1,33878,13512,47390
20160711,0,34357,12982,47339
20160712,0,33697,13353,47050
20160713,0,35371,11167,46538
20160714,0,34743,13014,47757
20160715,0,32876,15148,48024
20160716,1,35302,13532,48834
20160717,1,37037,13358,50395
20160718,0,36605,13287,49892
20160719,0,37236,11885,49121
20160720,0,37906,16798,54704
20160721,0,38570,13201,51771
20160722,0,38050,13679,51729
20160723,1,38721,11692,50413
20160724,1,38322,8078,46400
20160725,0,38723,14281,53004
20160726,0,36903,14111,51014
20160727,0,39713,13548,53261
20160728,0,41378,14321,55699
